% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.560350000000000E+010,-3.356650235514865E+001,-1.948498766777313E-001,-1.970735051177895E-001,-3.152981714934455E+001,
1.572345000000000E+010,-3.156179358426758E+001,-2.092160614807479E-001,-1.877222488699766E-001,-3.128353006950436E+001,
1.584340000000000E+010,-3.043081512194411E+001,-2.168990686663705E-001,-1.788314849724425E-001,-3.128335143874827E+001,
1.596335000000000E+010,-3.272501993456559E+001,-2.239907872102485E-001,-1.773982971531982E-001,-3.274137964821584E+001,
1.608330000000000E+010,-3.915481584038536E+001,-2.173056775384028E-001,-1.940663580732744E-001,-3.451284917121327E+001,
1.620325000000000E+010,-3.903542003308468E+001,-2.200378183786793E-001,-2.082101699474367E-001,-3.722673572550949E+001,
1.632320000000000E+010,-3.276055428820695E+001,-2.199105423664747E-001,-1.969817255716301E-001,-4.592466853780616E+001,
1.644315000000000E+010,-3.025960921500706E+001,-2.358299623477496E-001,-1.770296864273608E-001,-4.465011960225714E+001,
1.656310000000000E+010,-3.078552646461627E+001,-2.424492389820918E-001,-1.759479697852629E-001,-3.864292841120135E+001,
1.668305000000000E+010,-3.518503851215065E+001,-2.330707874622052E-001,-1.921838161965994E-001,-3.398700441222565E+001,
1.680300000000000E+010,-3.847128335336786E+001,-2.236363037589924E-001,-2.046290299080923E-001,-3.176407822795160E+001,
1.692295000000000E+010,-2.972941016787884E+001,-2.198760044436935E-001,-2.319687592490279E-001,-2.941181531393018E+001,
1.704290000000000E+010,-2.525793801121151E+001,-2.020567221747462E-001,-2.699047646128402E-001,-2.871368767679953E+001,
1.716285000000000E+010,-2.411601185086261E+001,-2.121162245301275E-001,-2.419279005110849E-001,-2.852187527828789E+001,
1.728280000000000E+010,-2.459536937600941E+001,-2.089933042978922E-001,-2.062088290338877E-001,-2.760252326418650E+001,
1.740275000000000E+010,-2.707220121241097E+001,-2.213968900835473E-001,-2.165841399809413E-001,-2.798330122558095E+001,
1.752270000000000E+010,-3.146345185056307E+001,-2.292280571131504E-001,-1.954045277258862E-001,-2.767432774378918E+001,
1.764265000000000E+010,-3.149334787654178E+001,-2.468824453985243E-001,-1.992853219457727E-001,-2.825274585430304E+001,
1.776260000000000E+010,-2.780464606676229E+001,-2.467744194257069E-001,-2.206187209360203E-001,-2.839150181232577E+001,
1.788255000000000E+010,-2.579260522233702E+001,-2.396663251876817E-001,-2.381067515531494E-001,-2.844023876181339E+001,
1.800250000000000E+010,-2.653926784166266E+001,-2.296303631802344E-001,-2.387624861684394E-001,-2.896315339899174E+001,
1.812245000000000E+010,-3.055090823612592E+001,-2.360828228607587E-001,-2.289587757707753E-001,-3.071571213406033E+001,
